# DocTypes
PQR Type,Tipo de PQR,
PQR Entry,PQR,
PQR Tool Type,Tipo de PQR de Herramienta,
Pqr Management,Gestión de PQR,
# PQR Type fields
Type Code,Código del Tipo,
"Unique identifier in snake_case (e.g. peticion, queja, reclamo)","Identificador único en snake_case (ej: peticion, queja, reclamo)",
Label,Etiqueta,
"Display name shown to citizens (e.g. Petición, Queja)","Nombre visible para el ciudadano (ej: Petición, Queja)",
"Only active types can be shown in tools","Solo los tipos activos pueden mostrarse en herramientas",
Icon,Icono,
"Lucide icon name (e.g. MessageSquare, AlertCircle)","Nombre del icono Lucide (ej: MessageSquare, AlertCircle)",
"Accent color for the card in the portal","Color de acento para la tarjeta en el portal",
Display Order,Orden,
"Sort order in the portal (ascending)","Orden de visualización en el portal (ascendente)",
"Short explanation shown below the type name in the portal","Explicación corta mostrada bajo el nombre del tipo en el portal",
# PQR Entry fields
PQR Type,Tipo de PQR,
"Type of PQR (Petición, Queja, Reclamo, etc.)","Tipo de PQR (Petición, Queja, Reclamo, etc.)",
Subject,Asunto,
"Short subject for this PQR","Asunto corto para esta PQR",
Status,Estado,
New,Nueva,
In Review,En Revisión,
In Process,En Proceso,
Resolved,Resuelta,
Closed,Cerrada,
Rejected,Rechazada,
Received At,Recibida el,
Source,Origen,
portal,Portal,
api,API,
internal,Interno,
email,Email,
phone,Teléfono,
other,Otro,
"Where this PQR came from","Origen de esta PQR",
Submitter,Solicitante,
"Associated user contact (optional - leave empty for anonymous)","Contacto asociado (opcional - dejar vacío si es anónimo)",
"Mark as anonymous - submitter info will not be stored","Marcar como anónimo - no se guardará información del solicitante",
Submitter Name,Nombre del Solicitante,
"Submitter full name (only if not anonymous)","Nombre completo del solicitante (solo si no es anónimo)",
Submitter Email,Email del Solicitante,
"Submitter email for contact (optional, only if not anonymous)","Email del solicitante para contacto (opcional, solo si no es anónimo)",
Submitter Phone,Teléfono del Solicitante,
"Submitter phone (optional)","Teléfono del solicitante (opcional)",
Content,Contenido,
Description,Descripción,
"Detailed description of the PQR submitted by the citizen","Descripción detallada de la PQR enviada por el ciudadano",
Internal Management,Gestión Interna,
Assigned To,Asignada a,
"User responsible for handling this PQR","Usuario responsable de gestionar esta PQR",
Resolved At,Resuelta el,
Resolution,Resolución,
"Response to the citizen","Respuesta al ciudadano",
# Tool config (Service Portal Tool custom fields)
PQR Allowed Types,Tipos de PQR Permitidos,
"Types of PQR shown in this tool (e.g. Petición, Queja, Reclamo)","Tipos de PQR mostrados en esta herramienta (ej: Petición, Queja, Reclamo)",
Allow Anonymous PQR,Permitir PQR Anónimas,
"Allow citizens to submit PQR anonymously (without associating their User Contact)","Permitir a los ciudadanos enviar PQR anónimamente (sin asociar su contacto)",
# API Service custom fields
PQR Configuration,Configuración de PQR,
Enable Create PQR,Habilitar Crear PQR,
"Allow creating PQR entries via this API service","Permitir crear PQR desde este servicio API",
# API messages
"PQR type is required","El tipo de PQR es requerido",
"Subject is required","El asunto es requerido",
"Description is required","La descripción es requerida",
"PQR type '{0}' not found","Tipo de PQR '{0}' no encontrado",
"PQR type '{0}' is not active","El tipo de PQR '{0}' no está activo",
"Service Portal Tool not found","Herramienta del Portal no encontrada",
"This tool is not a PQR tool","Esta herramienta no es de tipo PQR",
"PQR not found","PQR no encontrada",
"Not authorized to view this PQR","No tienes autorización para ver esta PQR",
"Authentication required","Autenticación requerida",
"User contact not found","Contacto de usuario no encontrado",
"Tool name is required","El nombre de la herramienta es requerido",
"Error creating PQR","Error al crear la PQR",
# Pre-loaded PQR Types (labels)
Petición,Petición,
Queja,Queja,
Reclamo,Reclamo,
Sugerencia,Sugerencia,
Felicitación,Felicitación,
Denuncia,Denuncia,
# Pre-loaded PQR Types (descriptions)
"Solicita información, gestión o acción de la entidad sobre un tema de tu interés.","Solicita información, gestión o acción de la entidad sobre un tema de tu interés.",
"Manifiesta tu inconformidad por la atención recibida o un servicio mal prestado.","Manifiesta tu inconformidad por la atención recibida o un servicio mal prestado.",
"Reporta una falla específica para que sea corregida o reparada.","Reporta una falla específica para que sea corregida o reparada.",
"Propone una mejora o idea que ayude a brindar un mejor servicio.","Propone una mejora o idea que ayude a brindar un mejor servicio.",
"Reconoce un buen servicio, atención destacada o experiencia positiva.","Reconoce un buen servicio, atención destacada o experiencia positiva.",
"Reporta una situación irregular, posible falta ética o presunto acto de corrupción.","Reporta una situación irregular, posible falta ética o presunto acto de corrupción.",
# Tool labels
PQR,PQR,
My PQR,Mis PQR,
"Allows citizens to submit Petitions, Complaints, Claims and other feedback (PQR).","Permite a los ciudadanos enviar Peticiones, Quejas, Reclamos y otras retroalimentaciones (PQR).",
"Allows citizens to view the status of their submitted PQRs.","Permite a los ciudadanos ver el estado de las PQR que han enviado.",
